open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
3907.0682,3963.0371,3902.1771,3960.0662,187213671,000300.SH,2025-06-25,NA,NA,CNY
3953.1603,3964.482,3945.2589,3946.0195,165316263,000300.SH,2025-06-26,NA,NA,CNY
3949.7879,3969.2626,3918.2041,3921.7578,194557913,000300.SH,2025-06-27,NA,NA,CNY
3920.3149,3940.3611,3911.6044,3936.0791,145170236,000300.SH,2025-06-30,NA,NA,CNY
3935.9078,3946.2451,3924.7219,3942.762,128959362,000300.SH,2025-07-01,NA,NA,CNY
3943.3232,3952.1378,3929.6956,3943.6849,147063062,000300.SH,2025-07-02,NA,NA,CNY
3949.3998,3971.616,3945.138,3968.0676,141004006,000300.SH,2025-07-03,NA,NA,CNY
3967.4637,4013.8478,3958.3762,3982.2034,157197133,000300.SH,2025-07-04,NA,NA,CNY
3977.2881,3979.7481,3956.5663,3965.1746,131135273,000300.SH,2025-07-07,NA,NA,CNY
3965.426,4002.269,3965.426,3998.4527,156402895,000300.SH,2025-07-08,NA,NA,CNY
3997.5044,4016.7434,3987.4267,3991.4006,173293796,000300.SH,2025-07-09,NA,NA,CNY
3993.4196,4032.9829,3992.5242,4010.0243,209778904,000300.SH,2025-07-10,NA,NA,CNY
4011.4652,4065.9419,4010.1052,4014.807,262052773,000300.SH,2025-07-11,NA,NA,CNY
4021.2135,4034.9198,4017.6678,4017.6678,207917175,000300.SH,2025-07-14,NA,NA,CNY
4023.9896,4042.6574,3994.2628,4019.0644,191042931,000300.SH,2025-07-15,NA,NA,CNY
4019.3925,4027.8567,3993.9209,4007.2019,151027308,000300.SH,2025-07-16,NA,NA,CNY
4005.067,4034.5935,4005.067,4034.491,161249041,000300.SH,2025-07-17,NA,NA,CNY
4039.8712,4064.6378,4039.3181,4058.5486,186211063,000300.SH,2025-07-18,NA,NA,CNY
4069.7685,4086.1171,4063.4427,4085.6072,223268476,000300.SH,2025-07-21,NA,NA,CNY
4087.3354,4119.2021,4068.3383,4118.9582,257596985,000300.SH,2025-07-22,NA,NA,CNY
4129.1476,4155.6783,4113.9085,4119.7685,300506154,000300.SH,2025-07-23,NA,NA,CNY
4116.8312,4152.4265,4111.8849,4149.0368,319632392,000300.SH,2025-07-24,NA,NA,CNY
4145.3195,4150.4994,4117.8005,4127.1634,273594963,000300.SH,2025-07-25,NA,NA,CNY
4128.1993,4146.12,4112.9677,4135.8242,222759815,000300.SH,2025-07-28,NA,NA,CNY
4132.6833,4153.3307,4117.5772,4152.0247,230807880,000300.SH,2025-07-29,NA,NA,CNY
4148.9405,4185.2064,4127.4301,4151.2379,249853048,000300.SH,2025-07-30,NA,NA,CNY
4141.5612,4141.8243,4063.6662,4075.5912,267087406,000300.SH,2025-07-31,NA,NA,CNY
4069.9254,4085.3543,4040.462,4054.9286,196221826,000300.SH,2025-08-01,NA,NA,CNY
4037.9378,4070.7023,4037.9378,4070.7023,162275902,000300.SH,2025-08-04,NA,NA,CNY
